,"('Local', 'Negative', 'Non-Invasive', '<50', 'Yes')","('Local', 'Negative', 'Non-Invasive', '<50', 'No')","('Local', 'Negative', 'Invasive', '<50', 'Yes')","('Local', 'Negative', 'Invasive', '<50', 'No')","('Local', 'Positive', 'Non-Invasive', '<50', 'Yes')","('Local', 'Positive', 'Non-Invasive', '<50', 'No')","('Local', 'Positive', 'Invasive', '<50', 'Yes')","('Local', 'Positive', 'Invasive', '<50', 'No')","('Local', 'Close', 'Non-Invasive', '<50', 'Yes')","('Local', 'Close', 'Non-Invasive', '<50', 'No')","('Local', 'Close', 'Invasive', '<50', 'Yes')","('Local', 'Close', 'Invasive', '<50', 'No')","('Local', 'Null', 'Non-Invasive', '<50', 'Yes')","('Local', 'Null', 'Non-Invasive', '<50', 'No')","('Local', 'Null', 'Invasive', '<50', 'Yes')","('Local', 'Null', 'Invasive', '<50', 'No')","('Spread', 'Negative', 'Non-Invasive', '<50', 'Yes')","('Spread', 'Negative', 'Non-Invasive', '<50', 'No')","('Spread', 'Negative', 'Invasive', '<50', 'Yes')","('Spread', 'Negative', 'Invasive', '<50', 'No')","('Spread', 'Positive', 'Non-Invasive', '<50', 'Yes')","('Spread', 'Positive', 'Non-Invasive', '<50', 'No')","('Spread', 'Positive', 'Invasive', '<50', 'Yes')","('Spread', 'Positive', 'Invasive', '<50', 'No')","('Spread', 'Close', 'Non-Invasive', '<50', 'Yes')","('Spread', 'Close', 'Non-Invasive', '<50', 'No')","('Spread', 'Close', 'Invasive', '<50', 'Yes')","('Spread', 'Close', 'Invasive', '<50', 'No')","('Spread', 'Null', 'Non-Invasive', '<50', 'Yes')","('Spread', 'Null', 'Non-Invasive', '<50', 'No')","('Spread', 'Null', 'Invasive', '<50', 'Yes')","('Spread', 'Null', 'Invasive', '<50', 'No')","('Local', 'Negative', 'Non-Invasive', '>=50', 'Yes')","('Local', 'Negative', 'Non-Invasive', '>=50', 'No')","('Local', 'Negative', 'Invasive', '>=50', 'Yes')","('Local', 'Negative', 'Invasive', '>=50', 'No')","('Local', 'Positive', 'Non-Invasive', '>=50', 'Yes')","('Local', 'Positive', 'Non-Invasive', '>=50', 'No')","('Local', 'Positive', 'Invasive', '>=50', 'Yes')","('Local', 'Positive', 'Invasive', '>=50', 'No')","('Local', 'Close', 'Non-Invasive', '>=50', 'Yes')","('Local', 'Close', 'Non-Invasive', '>=50', 'No')","('Local', 'Close', 'Invasive', '>=50', 'Yes')","('Local', 'Close', 'Invasive', '>=50', 'No')","('Local', 'Null', 'Non-Invasive', '>=50', 'Yes')","('Local', 'Null', 'Non-Invasive', '>=50', 'No')","('Local', 'Null', 'Invasive', '>=50', 'Yes')","('Local', 'Null', 'Invasive', '>=50', 'No')","('Spread', 'Negative', 'Non-Invasive', '>=50', 'Yes')","('Spread', 'Negative', 'Non-Invasive', '>=50', 'No')","('Spread', 'Negative', 'Invasive', '>=50', 'Yes')","('Spread', 'Negative', 'Invasive', '>=50', 'No')","('Spread', 'Positive', 'Non-Invasive', '>=50', 'Yes')","('Spread', 'Positive', 'Non-Invasive', '>=50', 'No')","('Spread', 'Positive', 'Invasive', '>=50', 'Yes')","('Spread', 'Positive', 'Invasive', '>=50', 'No')","('Spread', 'Close', 'Non-Invasive', '>=50', 'Yes')","('Spread', 'Close', 'Non-Invasive', '>=50', 'No')","('Spread', 'Close', 'Invasive', '>=50', 'Yes')","('Spread', 'Close', 'Invasive', '>=50', 'No')","('Spread', 'Null', 'Non-Invasive', '>=50', 'Yes')","('Spread', 'Null', 'Non-Invasive', '>=50', 'No')","('Spread', 'Null', 'Invasive', '>=50', 'Yes')","('Spread', 'Null', 'Invasive', '>=50', 'No')"
"('Local', 'Negative', 'Non-Invasive', '<50', 'Yes')",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Negative', 'Non-Invasive', '<50', 'No')",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Negative', 'Invasive', '<50', 'Yes')",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Negative', 'Invasive', '<50', 'No')",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Positive', 'Non-Invasive', '<50', 'Yes')",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Positive', 'Non-Invasive', '<50', 'No')",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Positive', 'Invasive', '<50', 'Yes')",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Positive', 'Invasive', '<50', 'No')",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Close', 'Non-Invasive', '<50', 'Yes')",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Close', 'Non-Invasive', '<50', 'No')",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('Local', 'Close', 'Invasive', '<50', 'Yes')",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
